year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
2022,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,RICK NEIGHBORS,DEMOCRAT,FALSE,TOTAL,26694,195733,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,JOHNNY C COCHRAN,LIBERTARIAN,FALSE,TOTAL,4303,195733,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,WRITEIN,NA,TRUE,TOTAL,81,195733,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,DALE STRONG,REPUBLICAN,FALSE,TOTAL,142435,212317,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,KATHY WARNER-STANTON,DEMOCRAT,FALSE,TOTAL,62740,212317,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,P J GREER,LIBERTARIAN,FALSE,TOTAL,6773,212317,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,WRITEIN,NA,TRUE,TOTAL,369,212317,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,GARY J PALMER,REPUBLICAN,FALSE,TOTAL,154233,184203,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,ANDRIA CHIEFFO,LIBERTARIAN,FALSE,TOTAL,27833,184203,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,WRITEIN,NA,TRUE,TOTAL,2137,184203,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,BEATRICE NICHOLS,REPUBLICAN,FALSE,TOTAL,67416,193940,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,TERRI A SEWELL,DEMOCRAT,FALSE,TOTAL,123233,193940,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,GAVIN GOODMAN,LIBERTARIAN,FALSE,TOTAL,3212,193940,FALSE,20250910,FALSE
2022,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,WRITEIN,NA,TRUE,TOTAL,79,193940,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,DAVID SCHWEIKERT,REPUBLICAN,FALSE,TOTAL,182336,361477,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,JEVIN HODGE,DEMOCRAT,FALSE,TOTAL,179141,361477,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,ELI CRANE,REPUBLICAN,FALSE,TOTAL,174169,323396,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,TOM O������HALLERAN,DEMOCRAT,FALSE,TOTAL,149151,323396,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,CHRIS SARAPPO,INDEPENDENT,TRUE,TOTAL,76,323396,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,JEFF ZINK,REPUBLICAN,FALSE,TOTAL,32475,141074,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,RUBEN GALLEGO,DEMOCRAT,FALSE,TOTAL,108599,141074,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,KELLY COOPER,REPUBLICAN,FALSE,TOTAL,116521,265498,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,GREG STANTON,DEMOCRAT,FALSE,TOTAL,148941,265498,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,STEPHAN ������STEVE������ JONES,INDEPENDENT,TRUE,TOTAL,36,265498,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,ANDY BIGGS,REPUBLICAN,FALSE,TOTAL,182464,321590,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,JAVIER RAMOS,DEMOCRAT,FALSE,TOTAL,120243,321590,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,CLINT SMITH,INDEPENDENT,FALSE,TOTAL,18851,321590,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,DEBRA JO ������D-JO������ BORDEN,DEMOCRATIC,TRUE,TOTAL,32,321590,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,JUAN CISCOMANI,REPUBLICAN,FALSE,TOTAL,177201,349283,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,KIRSTEN ENGEL,DEMOCRAT,FALSE,TOTAL,171969,349283,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,AVERY ALEXANDER THORNTON,DEMOCRATIC,TRUE,TOTAL,71,349283,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,FRANK BERTONE,NONE,TRUE,TOTAL,42,349283,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,7,GEN,LUIS POZZOLO,REPUBLICAN,FALSE,TOTAL,69444,195862,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,7,GEN,RA����L M GRIJALVA,DEMOCRAT,FALSE,TOTAL,126418,195862,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,DEBBIE LESKO,REPUBLICAN,FALSE,TOTAL,197555,204713,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,JEREMY SPREITZER,DEMOCRATIC,TRUE,TOTAL,5145,204713,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,ALIXANDRIA GUZMAN,DEMOCRATIC,TRUE,TOTAL,2013,204713,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,9,GEN,PAUL GOSAR,REPUBLICAN,FALSE,TOTAL,192796,197185,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,9,GEN,RICHARD GRAYSON,DEMOCRATIC,TRUE,TOTAL,3531,197185,FALSE,20250910,FALSE
2022,ARIZONA,AZ,4,86,61,US HOUSE,9,GEN,TOM T,DEMOCRATIC,TRUE,TOTAL,858,197185,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,ERIC A ������RICK������ CRAWFORD,REPUBLICAN,FALSE,TOTAL,153774,208372,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,MONTE HODGES,DEMOCRAT,FALSE,TOTAL,54598,208372,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,J FRENCH HILL,REPUBLICAN,FALSE,TOTAL,147975,246446,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,QUINTESSA HATHAWAY,DEMOCRAT,FALSE,TOTAL,86887,246446,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,MICHAEL WHITE,LIBERTARIAN,FALSE,TOTAL,11584,246446,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,STEVE WOMACK,REPUBLICAN,FALSE,TOTAL,142401,223588,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,LAUREN MALLETT-HAYS,DEMOCRAT,FALSE,TOTAL,73541,223588,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,MICHAEL J KALAGIAS,LIBERTARIAN,FALSE,TOTAL,7646,223588,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,BRUCE WESTERMAN,REPUBLICAN,FALSE,TOTAL,153850,216696,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,JOHN WHITE,DEMOCRAT,FALSE,TOTAL,56745,216696,FALSE,20250910,FALSE
2022,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,GREGORY MAXWELL,LIBERTARIAN,FALSE,TOTAL,6101,216696,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,DOUG LAMALFA,REPUBLICAN,FALSE,TOTAL,152839,246225,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,MAX STEINER,DEMOCRAT,FALSE,TOTAL,93386,246225,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,DOUGLAS BROWER,REPUBLICAN,FALSE,TOTAL,79029,308749,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,JARED HUFFMAN,DEMOCRAT,FALSE,TOTAL,229720,308749,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,KEVIN KILEY,REPUBLICAN,FALSE,TOTAL,181438,338199,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,KERMIT JONES,DEMOCRAT,FALSE,TOTAL,156761,338199,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,MATT BROCK,REPUBLICAN,FALSE,TOTAL,84007,260907,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,MIKE THOMPSON,DEMOCRAT,FALSE,TOTAL,176900,260907,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,5,GEN,TOM MCCLINTOCK,REPUBLICAN,FALSE,TOTAL,173524,283030,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,5,GEN,MICHAEL J ������MIKE������ BARKLEY,DEMOCRAT,FALSE,TOTAL,109506,283030,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,6,GEN,TAMIKA HAMILTON,REPUBLICAN,FALSE,TOTAL,95325,216383,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,6,GEN,AMI BERA,DEMOCRAT,FALSE,TOTAL,121058,216383,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,7,GEN,MAX SEMENENKO,REPUBLICAN,FALSE,TOTAL,70033,220651,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,7,GEN,DORIS O MATSUI,DEMOCRAT,FALSE,TOTAL,150618,220651,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,RUDY RECILE,REPUBLICAN,FALSE,TOTAL,46634,192135,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,JOHN GARAMENDI,DEMOCRAT,FALSE,TOTAL,145501,192135,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,TOM PATTI,REPUBLICAN,FALSE,TOTAL,78802,174400,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,JOSH HARDER,DEMOCRAT,FALSE,TOTAL,95598,174400,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,MARK DESAULNIER,DEMOCRAT,FALSE,TOTAL,198415,251380,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,MICHAEL ERNEST KERR,GREEN,FALSE,TOTAL,52965,251380,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,JOHN DENNIS,REPUBLICAN,FALSE,TOTAL,42217,263065,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,NANCY PELOSI,DEMOCRAT,FALSE,TOTAL,220848,263065,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,STEPHEN SLAUSON,REPUBLICAN,FALSE,TOTAL,22859,239969,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,BARBARA LEE,DEMOCRAT,FALSE,TOTAL,217110,239969,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,13,GEN,JOHN DUARTE,REPUBLICAN,FALSE,TOTAL,67060,133556,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,13,GEN,ADAM GRAY,DEMOCRAT,FALSE,TOTAL,66496,133556,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,ALISON HAYDEN,REPUBLICAN,FALSE,TOTAL,60852,198464,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,ERIC SWALWELL,DEMOCRAT,FALSE,TOTAL,137612,198464,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,KEVIN MULLIN,DEMOCRAT,FALSE,TOTAL,108077,194874,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,DAVID J CANEPA,DEMOCRAT,FALSE,TOTAL,86797,194874,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,ANNA G ESHOO,DEMOCRAT,FALSE,TOTAL,139235,241007,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,RISHI KUMAR,DEMOCRAT,FALSE,TOTAL,101772,241007,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,RITESH TANDON,REPUBLICAN,FALSE,TOTAL,52400,180253,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,RO KHANNA,DEMOCRAT,FALSE,TOTAL,127853,180253,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,18,GEN,PETER HERNANDEZ,REPUBLICAN,FALSE,TOTAL,51737,151513,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,18,GEN,ZOE LOFGREN,DEMOCRAT,FALSE,TOTAL,99776,151513,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,19,GEN,JEFF GORMAN,REPUBLICAN,FALSE,TOTAL,88816,283310,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,19,GEN,JIMMY PANETTA,DEMOCRAT,FALSE,TOTAL,194494,283310,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,20,GEN,KEVIN MCCARTHY,REPUBLICAN,FALSE,TOTAL,153847,228781,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,20,GEN,MARISA WOOD,DEMOCRAT,FALSE,TOTAL,74934,228781,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,21,GEN,MICHAEL MAHER,REPUBLICAN,FALSE,TOTAL,57573,125647,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,21,GEN,JIM COSTA,DEMOCRAT,FALSE,TOTAL,68074,125647,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,DAVID G VALADAO,REPUBLICAN,FALSE,TOTAL,52994,102856,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,RUDY SALAS,DEMOCRAT,FALSE,TOTAL,49862,102856,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,23,GEN,JAY OBERNOLTE,REPUBLICAN,FALSE,TOTAL,103197,169105,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,23,GEN,DEREK MARSHALL,DEMOCRAT,FALSE,TOTAL,65908,169105,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,BRAD ALLEN,REPUBLICAN,FALSE,TOTAL,103533,262552,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,SALUD O CARBAJAL,DEMOCRAT,FALSE,TOTAL,159019,262552,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,25,GEN,BRIAN E HAWKINS,REPUBLICAN,FALSE,TOTAL,65101,152742,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,25,GEN,RAUL RUIZ,DEMOCRAT,FALSE,TOTAL,87641,152742,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,MATT JACOBS,REPUBLICAN,FALSE,TOTAL,112214,246789,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,JULIA BROWNLEY,DEMOCRAT,FALSE,TOTAL,134575,246789,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,27,GEN,MIKE GARCIA,REPUBLICAN,FALSE,TOTAL,104624,196516,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,27,GEN,CHRISTY SMITH,DEMOCRAT,FALSE,TOTAL,91892,196516,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,WES HALLMAN,REPUBLICAN,FALSE,TOTAL,76495,226557,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,JUDY CHU,DEMOCRAT,FALSE,TOTAL,150062,226557,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,TONY C����RDENAS,DEMOCRAT,FALSE,TOTAL,69915,119435,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,ANG����LICA MARIA DUE����AS,DEMOCRAT,FALSE,TOTAL,49520,119435,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,30,GEN,ADAM B SCHIFF,DEMOCRAT,FALSE,TOTAL,150100,211068,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,30,GEN,G ������MAEBE A GIRL������ PUDLO,DEMOCRAT,FALSE,TOTAL,60968,211068,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,DANIEL BOCIC MARTINEZ,REPUBLICAN,FALSE,TOTAL,62153,153625,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,GRACE F NAPOLITANO,DEMOCRAT,FALSE,TOTAL,91472,153625,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,32,GEN,LUCIE LAPOINTE VOLOTZKY,REPUBLICAN,FALSE,TOTAL,74618,242029,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,32,GEN,BRAD SHERMAN,DEMOCRAT,FALSE,TOTAL,167411,242029,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,33,GEN,JOHN MARK PORTER,REPUBLICAN,FALSE,TOTAL,56119,132707,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,33,GEN,PETE AGUILAR,DEMOCRAT,FALSE,TOTAL,76588,132707,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,JIMMY GOMEZ,DEMOCRAT,FALSE,TOTAL,62244,121467,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,DAVID KIM,DEMOCRAT,FALSE,TOTAL,59223,121467,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,35,GEN,MIKE CARGILE,REPUBLICAN,FALSE,TOTAL,55832,130953,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,35,GEN,NORMA J TORRES,DEMOCRAT,FALSE,TOTAL,75121,130953,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,36,GEN,JOE E COLLINS III,REPUBLICAN,FALSE,TOTAL,84264,278563,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,36,GEN,TED LIEU,DEMOCRAT,FALSE,TOTAL,194299,278563,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,37,GEN,SYDNEY KAMLAGER,DEMOCRAT,FALSE,TOTAL,84338,131880,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,37,GEN,JAN C PERRY,DEMOCRAT,FALSE,TOTAL,47542,131880,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,38,GEN,ERIC J CHING,REPUBLICAN,FALSE,TOTAL,73051,174311,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,38,GEN,LINDA T S����NCHEZ,DEMOCRAT,FALSE,TOTAL,101260,174311,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,39,GEN,AJA SMITH,REPUBLICAN,FALSE,TOTAL,55701,131597,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,39,GEN,MARK TAKANO,DEMOCRAT,FALSE,TOTAL,75896,131597,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,40,GEN,YOUNG KIM,REPUBLICAN,FALSE,TOTAL,161589,284311,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,40,GEN,ASIF MAHMOOD,DEMOCRAT,FALSE,TOTAL,122722,284311,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,41,GEN,KEN CALVERT,REPUBLICAN,FALSE,TOTAL,123869,236638,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,41,GEN,WILL ROLLINS,DEMOCRAT,FALSE,TOTAL,112769,236638,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,42,GEN,JOHN BRISCOE,REPUBLICAN,FALSE,TOTAL,45903,145120,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,42,GEN,ROBERT GARCIA,DEMOCRAT,FALSE,TOTAL,99217,145120,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,43,GEN,OMAR NAVARRO,REPUBLICAN,FALSE,TOTAL,27985,123447,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,43,GEN,MAXINE WATERS,DEMOCRAT,FALSE,TOTAL,95462,123447,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,44,GEN,PAUL JONES,REPUBLICAN,FALSE,TOTAL,38554,138714,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,44,GEN,NANETTE DIAZ BARRAG����N,DEMOCRAT,FALSE,TOTAL,100160,138714,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,45,GEN,MICHELLE STEEL,REPUBLICAN,FALSE,TOTAL,113960,217426,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,45,GEN,JAY F CHEN,DEMOCRAT,FALSE,TOTAL,103466,217426,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,46,GEN,CHRISTOPHER J GONZALES,REPUBLICAN,FALSE,TOTAL,48257,126298,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,46,GEN,J LUIS CORREA,DEMOCRAT,FALSE,TOTAL,78041,126298,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,47,GEN,SCOTT BAUGH,REPUBLICAN,FALSE,TOTAL,128261,265635,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,47,GEN,KATIE PORTER,DEMOCRAT,FALSE,TOTAL,137374,265635,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,48,GEN,DARRELL ISSA,REPUBLICAN,FALSE,TOTAL,155171,257071,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,48,GEN,STEPHEN HOULAHAN,DEMOCRAT,FALSE,TOTAL,101900,257071,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,49,GEN,BRIAN MARYOTT,REPUBLICAN,FALSE,TOTAL,138194,291735,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,49,GEN,MIKE LEVIN,DEMOCRAT,FALSE,TOTAL,153541,291735,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,50,GEN,COREY GUSTAFSON,REPUBLICAN,FALSE,TOTAL,99819,268635,FALSE,20250910,FALSE
2022,CALIFORNIA,CA,6,93,71,US HOUSE,50,GEN,SCOTT H PETERS,DEMOCRAT,FALSE,TOTAL,168816,268635,FALSE,20250910,FALSE
